,12312013,12312014,12312015,12312016,12312017,12312018,12312019,12312020,12312021,
ESG_DISCLOSURE_SCORE,60.46,61.58,61.66,65.02,65.65,65.65,65.76,67.43,68,
ENVIRON_DISCLOSURE_SCORE,38.99,42.37,45.55,45.55,58.2,58.2,58.53,68.56,70.28,
GHG_SCOPE_1,49200.00,48600.00,48910.00,50100.00,50500.00,48800.00,49200.00,41700.00,33200.00,
GHG_SCOPE_2_LOCATION_BASED,6600.00,6600.00,6910.00,6210.00,6100.00,5400.00,5200.00,3700.00,2400.00,
TOTAL_WATER_WITHDRAWAL,288880.00,280050.00,291000.00,256500.00,275510.00,271000.00,281000.00,275600.00,239400.00,
