,12312013,12312014,12312015,12312016,12312017,12312018,12312019,12312020,12312021,
ESG_DISCLOSURE_SCORE,60.09,60.09,61.48,62.01,64.44,64.63,65.34,65.34,65.34,
ENVIRON_DISCLOSURE_SCORE,44.67,44.67,42.71,42.71,48.6,48.6,50.02,50.02,50.02,
GHG_SCOPE_1,135000.00,121000.00,118000.00,120000.00,117000.00,119000.00,114000.00,108000.00,94000.00,
GHG_SCOPE_2,8000.00,8000.00,8000.00,8000.00,8000.00,8000.00,9000.00,7000.00,7000.00,
TOTAL_WATER_WITHDRAWAL,430000.00,420000.00,430000.00,440000.00,450000.00,470000.00,460000.00,460000.00,440000.00,
